Number,Date,Truck,Length,Route,Ref,Price,BAF,Voucher,INVOICE
1158,16.10.2013,IF 08 TDS,16.5,DO - CA,DO24229006,135,14.56,254479,"1,886.00 €"
1159,"17,10,2013",B-82-EYI,16.5,do-ca,DO24229916,135,14.56,254480,"1,886.00 €"
1160,18.10.2013,CJ 44 CNT,16.5,DO - CA,DO24232030,135,14.56,254481,"1,886.00 €"
1161,18.10.2013,CJ 49 CNT ,16.5,DO - CA,DO24232031,135,14.56,254482,"1,886.00 €"
1162,18.10.2013,CJ98CNT,16.5,CA - DO,CA20277105,135,14.56,254483,"1,886.00 €"
1163,20.10.2013,IF 11 TDS,16.5,CA - DO,CA20279788,135,14.56,254484,"1,886.00 €"
1164,22.10.2013,CJ 98 CNT ,16.5,DO - CA,DO24238959,135,14.56,254485,"1,886.00 €"
1165,22.10.2013,CJ 50 CNT,16.5,CA- DO,CA20281832,135,14.56,254486,"1,886.00 €"
1166,"22,10,2013",CJ-15-JZG,16.5,CA- DO,CA20281992,135,14.56,254487,"1,886.00 €"
1167,"22,10,2013",CJ-13-NSZ,16.5,DO -CA,DO24240175,135,14.56,254488,"1,886.00 €"
1168,"23,10,2013",CJ-10-JLK,16.5,ca- do,CA20283868,135,14.56,254489,"1,886.00 €"
1169,19.10.2013,CJ13NSZ,16.5,CA - DO,CA20279422,135,14.56,254490,"1,886.00 €"
1170,23.10.2013,IF 11 TDS,16.5,DO - CA,DO24242334,135,14.56,254491,"1,886.00 €"
1171,23.10.2013,CJ-15-JZG,16.5,DO - CA,DO24242707,135,14.56,254492,"1,886.00 €"
1172,24.10.2013,B-40-RJI,16.5,CA - DO,CA20286143,135,14.56,254493,"1,886.00 €"
1173,"25,10,2013",CJ-10-JLK,16.5,do-ca,DO24245663,135,14.56,254494,"1,886.00 €"
1174,"25,10,2013",CJ-14-LNK,16.5,CA -DO,CA20287143,135,14.56,254495,"1,886.00 €"
1175,25.10.2013,CJ 22 CNT,16.5,DO - CA,DO24246733,135,14.56,254496,"1,886.00 €"
1176,25.10.2013,CJ 50 CNT,16.5,DO - CA,DO24246734,135,14.56,254497,"1,886.00 €"
1177,25.10.2013,GJ11ABS,16.5,CA- DO,CA20288553,135,14.56,254498,"1,886.00 €"
1178,25.10.2013,GJ11ABS,16.5,DO - CA,DO24248187,135,14.56,254499,"1,886.00 €"
1179,27.10.2013,AG 42 VLX,16.5,CA - DO,CA20289501,135,14.56,254500,"1,886.00 €"
1180,27.10.2013,AG 42 VLX,16.5,DO - CA,DO24249994,135,14.56,254501,"1,886.00 €"
1181,27.10.2013,HD 55 BET,16.5,CA - DO,CA20290387,135,14.56,254502,"1,886.00 €"
1182,27.10.2013,HD 55 BET,16.5,DO - CA,DO24251191,135,14.56,254503,"1,886.00 €"
1183,29.10.2013,CJ 49 CNT ,16.5,CA - DO,CA20291248,135,14.56,254504,"1,886.00 €"
1184,27.10.2013,B44DTK,16.5,CA - DO,CA20289356,135,14.56,254505,"1,886.00 €"
1185,27.10.2013,IF08TDS,16.5,CA- DO,CA20289397,135,14.56,254506,"1,886.00 €"
